2018-12-11-5-10-17    UserID [8]    Transaction Complete 
2018-12-11-5-10-17    UserID [49]    Transaction Complete 
2018-12-11-5-10-17    UserID [4]    Transaction Complete 
2018-12-11-5-10-17    UserID [34]    Transaction Complete 
2018-12-11-5-10-17    UserID [19]    Transaction Complete 
2018-12-11-5-10-17    UserID [48]    Transaction Complete 
2018-12-11-5-10-17    UserID [47]    Transaction Complete 
2018-12-11-5-10-17    UserID [25]    Transaction Complete 
2018-12-11-5-10-17    UserID [45]    Transaction Complete 
2018-12-11-5-10-17    UserID [14]    Transaction Complete 
2018-12-11-5-10-17    UserID [21]    Transaction Complete 
2018-12-11-5-10-17    UserID [18]    Transaction Complete 
2018-12-11-5-10-17    UserID [7]    Transaction Complete 
2018-12-11-5-10-17    UserID [0]    Transaction Complete 
2018-12-11-5-10-17    UserID [36]    Transaction Complete 
2018-12-11-5-10-17    UserID [15]    Transaction Complete 
2018-12-11-5-10-17    UserID [13]    Transaction Complete 
2018-12-11-5-10-17    UserID [5]    Transaction Complete 
2018-12-11-5-10-17    UserID [16]    Transaction Complete 
2018-12-11-5-10-17    UserID [22]    Transaction Complete 
2018-12-11-5-10-17    UserID [17]    Transaction Complete 
2018-12-11-5-10-17    UserID [39]    Transaction Complete 
2018-12-11-5-10-17    UserID [32]    Transaction Complete 
2018-12-11-5-10-17    UserID [27]    Transaction Complete 
2018-12-11-5-10-17    UserID [29]    Transaction Complete 
2018-12-11-5-10-17    UserID [26]    Transaction Complete 
2018-12-11-5-10-17    UserID [9]    Transaction Complete 
2018-12-11-5-10-17    UserID [28]    Transaction Complete 
2018-12-11-5-10-17    UserID [46]    Transaction Complete 
2018-12-11-5-10-18    UserID [20]    Transaction Complete 
2018-12-11-5-10-18    UserID [24]    Transaction Complete 
2018-12-11-5-10-18    UserID [44]    Transaction Complete 
2018-12-11-5-10-18    UserID [38]    Transaction Complete 
2018-12-11-5-10-18    UserID [42]    Transaction Complete 
2018-12-11-5-10-18    UserID [30]    Transaction Complete 
2018-12-11-5-10-18    UserID [12]    Transaction Complete 
2018-12-11-5-10-18    UserID [49]    Transaction Complete 
2018-12-11-5-10-18    UserID [35]    Transaction Complete 
2018-12-11-5-10-18    UserID [0]    Transaction Complete 
2018-12-11-5-10-18    UserID [47]    Transaction Complete 
2018-12-11-5-10-18    UserID [33]    Transaction Complete 
2018-12-11-5-10-18    UserID [31]    Transaction Complete 
2018-12-11-5-10-18    UserID [34]    Transaction Complete 
2018-12-11-5-10-18    UserID [43]    Transaction Complete 
2018-12-11-5-10-18    UserID [15]    Transaction Complete 
2018-12-11-5-10-18    UserID [2]    Transaction Complete 
2018-12-11-5-10-18    UserID [41]    Transaction Complete 
2018-12-11-5-10-18    UserID [1]    Transaction Complete 
2018-12-11-5-10-18    UserID [3]    Transaction Complete 
2018-12-11-5-10-18    UserID [11]    Transaction Complete 
2018-12-11-5-10-18    UserID [45]    Transaction Complete 
2018-12-11-5-10-18    UserID [8]    Transaction Complete 
2018-12-11-5-10-18    UserID [23]    Transaction Complete 
2018-12-11-5-10-18    UserID [48]    Transaction Complete 
2018-12-11-5-10-18    UserID [5]    Transaction Complete 
2018-12-11-5-10-18    UserID [26]    Transaction Complete 
2018-12-11-5-10-18    UserID [4]    Transaction Complete 
2018-12-11-5-10-18    UserID [37]    Transaction Complete 
2018-12-11-5-10-18    UserID [25]    Transaction Complete 
2018-12-11-5-10-18    UserID [13]    Transaction Complete 
2018-12-11-5-10-18    UserID [6]    Transaction Complete 
2018-12-11-5-10-18    UserID [36]    Transaction Complete 
2018-12-11-5-10-18    UserID [22]    Transaction Complete 
2018-12-11-5-10-18    UserID [29]    Transaction Complete 
2018-12-11-5-10-18    UserID [39]    Transaction Complete 
